strain	Tc	wc	Tmmax	Tg	wg	Tbmax	Td	wd	Tdmax	b.min	b.max	b0	half.0.raw
060306.rad52DD1.tab	3.27445115654126	1.92184563817433	3.15	5.53883599897557	12	5.55	NA	NA	NA	0.255043227665706	0.169898430286242	0.169898430286242	0.0166204986149584
060306.rad52DD2.tab	2.95190773973663	1.74216414920239	2.5	8.25444966662017	17	8.35	NA	NA	NA	0.288444830582103	0.111885067479321	0.171593366979092	0.00504686373467916
