t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	101360000	1260000	233333.333333333	23333.3333333333	116666.666666667	93333.3333333333	70000	256666.666666667	103413333.333333
24	107846666.666667	1353333.33333333	140000	116666.666666667	163333.333333333	93333.3333333333	93333.3333333333	210000	110016666.666667
48	107613333.333333	1213333.33333333	116666.666666667	163333.333333333	443333.333333333	536666.666666667	70000	490000	110646666.666667
72	110646666.666667	1120000	186666.666666667	163333.333333333	373333.333333333	280000	46666.6666666667	536666.666666667	113353333.333333
96	100390000	1570000	170000	1e+05	350000	250000	20000	350000	103200000
118	97260000	1550000	80000	50000	150000	130000	10000	2e+05	99430000
164	77960000	1246666.66666667	6e+05	253333.333333333	153333.333333333	60000	20000	140000	80433333.3333333
188	38306666.6666667	653333.333333333	3e+05	93333.3333333333	166666.666666667	46666.6666666667	40000	86666.6666666667	39693333.3333333
214	16080000	346666.666666667	133333.333333333	33333.3333333333	53333.3333333333	60000	40000	146666.666666667	16893333.3333333
236	7023333.33333333	156666.666666667	78333.3333333333	41666.6666666667	25000	20000	8333.33333333333	28333.3333333333	7381666.66666667
260	4286000	91333.3333333333	40000	4000	6000	7333.33333333333	3333.33333333333	12666.6666666667	4450666.66666667
332	1147333.33333333	23333.3333333333	5000	1666.66666666667	3000	2333.33333333333	1000	4666.66666666667	1188333.33333333
356	710000	17666.6666666667	5333.33333333333	1666.66666666667	3666.66666666667	2333.33333333333	1000	4666.66666666667	746333.333333333
380	NA	NA	NA	NA	NA	NA	NA	NA	0
