t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	72800000	140000	10000	10000	40000	20000	0	50000	73070000
24	77380000	130000	10000	20000	10000	10000	0	0	77560000
48	76300000	80000	40000	10000	20000	10000	10000	0	76470000
72	78930000	1e+05	10000	0	40000	20000	0	0	79100000
120	75390000	140000	20000	10000	20000	50000	0	10000	75640000
144	77510000	110000	20000	10000	30000	20000	0	10000	77710000
168	60500000	160000	50000	20000	20000	30000	0	0	60780000
192	49090000	110000	120000	30000	50000	60000	40000	30000	49530000
215	13493333.3333333	113333.333333333	83333.3333333333	43333.3333333333	13333.3333333333	16666.6666666667	43333.3333333333	13333.3333333333	13820000
240	780000	23333.3333333333	13333.3333333333	3333.33333333333	6666.66666666667	3333.33333333333	10000	0	840000
264	108333.333333333	6666.66666666667	2666.66666666667	1666.66666666667	666.666666666667	333.333333333333	333.333333333333	1333.33333333333	122000
290	13366.6666666667	2233.33333333333	133.333333333333	66.6666666666667	33.3333333333333	0	33.3333333333333	0	15866.6666666667
