t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	97820000	290000	50000	10000	20000	0	10000	10000	98210000
24	92530000	2890000	270000	210000	80000	0	140000	0	96120000
50	91710000	3200000	230000	180000	60000	20000	90000	0	95490000
98	56250000	2460000	1170000	360000	170000	0	260000	0	60670000
123	18380000	1730000	540000	213333.333333333	80000	23333.3333333333	156666.666666667	0	21123333.3333333
146	3120000	766666.666666667	103333.333333333	60000	6666.66666666667	6666.66666666667	53333.3333333333	0	4116666.66666667
172	906666.666666667	213333.333333333	30000	16666.6666666667	6666.66666666667	3333.33333333333	16666.6666666667	0	1193333.33333333
194	640000	151333.333333333	14666.6666666667	4666.66666666667	2000	0	5333.33333333333	666.666666666667	818666.666666667
218	520833.333333333	93333.3333333333	11500	5500	1666.66666666667	833.333333333333	8333.33333333333	0	642000
245	466333.333333333	29666.6666666667	4166.66666666667	1500	500	0	2666.66666666667	0	504833.333333333
