t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	100800000	350000	46666.6666666667	70000	0	46666.6666666667	0	23333.3333333333	101336666.666667
24	113633333.333333	466666.666666667	23333.3333333333	46666.6666666667	116666.666666667	116666.666666667	23333.3333333333	46666.6666666667	114473333.333333
48	101966666.666667	210000	23333.3333333333	23333.3333333333	46666.6666666667	23333.3333333333	46666.6666666667	23333.3333333333	102363333.333333
72	44750000	460000	460000	150000	70000	50000	250000	0	46190000
95	163333.333333333	13333.3333333333	10000	10000	0	0	10000	0	206666.666666667
119	6666.66666666667	10000	3333.33333333333	3333.33333333333	0	0	0	0	23333.3333333333
143	6433.33333333333	5466.66666666667	500	333.333333333333	166.666666666667	233.333333333333	1200	33.3333333333333	14366.6666666667
167	227.333333333333	196	9.66666666666667	7.66666666666667	5	2.33333333333333	26	1	475
