t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	1	1010	88	7	7	5	4	6	8	0
0	100	100	2	1028	89	5	7	10	3	11	5	0
0	100	100	3	990	90	3	7	15	4	6	8	0
24	100	100	1	875	68	3	3	6	5	5	3	0
24	100	100	2	869	69	3	3	9	2	6	4	0
24	100	100	3	732	50	7	4	7	4	4	3	0
50	100	100	1	793	62	5	5	9	3	4	3	1
50	100	100	2	691	54	3	3	9	1	2	4	0
50	100	100	3	759	58	5	5	6	2	3	3	1
74	100	100	1	741	48	3	3	2	1	1	1	0
74	100	100	2	755	57	4	1	2	2	1	2	1
74	100	100	3	733	35	1	4	3	0	3	1	0
98	100	30	1									
98	100	30	2									
98	100	30	3	2276	203	10	9	14	5	7	5	5
144	100	30	1									
144	100	30	2									
144	100	30	3	2177	148	12	7	9	8	13	5	6
172	100	50	1									
172	100	50	2									
172	100	50	3	1342	117	8	9	15	3	5	6	3
194	100	50	1									
194	100	50	2									
194	100	50	3	1367	118	4	7	7	6	8	5	3
218	100	50	1	1166	114	7	18	16	6	6	6	4
218	100	50	2	1175	111	7	10	13	10	7	7	5
218	100	50	3									
240	100	50	1	1135	76	16	9	5	6	4	2	2
240	100	50	2	1141	82	6	5	9	2	6	3	1
240	100	50	3	1159	67	11	11	8	3	6	3	1
264	100	50	1									
264	100	50	2									
264	100	50	3	1146	77	9	5	7	3	6	2	1
312	100	50	1									
312	100	50	2	935	78	6	5	6	2	5	7	1
312	100	50	3	1001	94	6	8	5	8	3	3	1
360	100	50	1	906	75	8	9	10	4	9	5	5
360	100	50	2	862	81	4	5	8	6	10	6	2
360	100	50	3	903	91	5	9	10	5	6	5	3
