t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	700	1	1499	19	3	0	1	1	0	3
0	100	700	2	1427	18	3	1	3	1	2	4
0	100	700	3	1418	17	4	0	1	2	1	4
24	100	700	1	1542	26	1	0	2	1	2	2
24	100	700	2	1577	17	2	3	2	1	0	3
24	100	700	3	1503	15	3	2	3	2	2	4
48	100	700	1	1482	20	1	3	8	8	0	8
48	100	700	2	1518	12	1	1	4	7	0	6
48	100	700	3	1612	20	3	3	7	8	3	7
72	100	700	1	1648	13	1	2	5	4	1	6
72	100	700	2	1529	18	4	2	7	7	1	10
72	100	700	3	1565	17	3	3	4	1	0	7
96	100	300	1	3356	51	9	4	4	7	0	10
96	100	300	2	3266	56	4	2	15	7	1	11
96	100	300	3	3417	50	4	4	16	11	1	14
118	100	300	1	3038	53	3	3	7	5	1	5
118	100	300	2	3327	53	2	2	5	7	0	10
118	100	300	3	3361	49	3	0	3	1	0	5
164	100	200	1	3766	60	34	18	7	3	1	8
164	100	200	2	3879	66	28	9	9	3	1	6
164	100	200	3	4049	61	28	11	7	3	1	7
188	100	200	1	1878	31	13	4	8	4	3	5
188	100	200	2	1918	35	15	7	12	1	2	4
188	100	200	3	1950	32	17	3	5	2	1	4
214	100	200	1	751	13	8	2	3	5	3	10
214	100	200	2	789	19	6	1	2	3	1	8
214	100	200	3	872	20	6	2	3	1	2	4
236	100	50	1	1290	31	11	4	5	5	0	8
236	100	50	2	1495	37	14	7	3	1	4	4
236	100	50	3	1429	26	22	14	7	6	1	5
260	100	20	1	2057	42	25	2	1	5	0	6
260	100	20	2	2157	42	15	2	6	3	2	6
260	100	20	3	2215	53	20	2	2	3	3	7
332	100	10	1	1144	22	2	1	2	2	2	7
332	100	10	2	1079	25	6	2	3	3	1	3
332	100	10	3	1219	23	7	2	4	2	0	4
356	100	10	1	700	15	7	2	5	2	1	4
356	100	10	2	702	16	6	2	4	0	1	5
356	100	10	3	728	22	3	1	2	5	1	5
380	100	10	1	558	13	5	2	5	4	1	7
380	100	10	2								
380	100	10	3	639	23	4	0	2	0	0	1
