t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	100	300	1	497	4	3	18	35	30	NA	NA	587
0	100	300	2	524	7	3	20	35	26	NA	NA	615
0	100	300	3	479	5	4	31	33	24	NA	NA	576
24	100	300	1	679	7	1	27	26	22	NA	NA	762
24	100	300	2	661	10	2	20	32	20	NA	NA	745
24	100	300	3	705	6	6	15	28	22	NA	NA	782
48	100	300	1	601	6	8	36	28	15	NA	NA	694
48	100	300	2	555	14	4	28	40	14	NA	NA	655
48	100	300	3	587	10	7	30	29	21	NA	NA	684
72	100	300	1	357	7	5	29	19	17	NA	NA	434
72	100	300	2	406	10	7	15	22	20	NA	NA	480
72	100	300	3	387	4	8	18	22	20	NA	NA	459
96	100	100	1	504	22	15	27	20	9	NA	NA	597
96	100	100	2	512	20	13	30	15	10	NA	NA	600
96	100	100	3	676	19	10	25	28	9	NA	NA	767
118	100	30	1	727	23	9	30	25	7	NA	NA	821
118	100	30	2	649	25	14	23	26	7	NA	NA	744
118	100	30	3	620	32	10	24	26	13	NA	NA	725
164	100	5	1	543	5	3	15	30	25	NA	NA	621
164	100	5	2	589	6	3	18	31	20	NA	NA	667
164	100	5	3	550	17	1	21	30	18	NA	NA	637
188	100	5	1	363	7	4	10	24	11	NA	NA	419
188	100	5	2	318	4	3	12	17	14	NA	NA	368
188	100	5	3	304	5	0	12	20	14	NA	NA	355
214	100	2	1	554	11	6	16	36	16	NA	NA	639
214	100	2	2	561	8	6	20	37	11	NA	NA	643
214	100	2	3	601	15	4	12	39	17	NA	NA	688
236	100	2	1	370	9	0	7	16	8	NA	NA	410
236	100	2	2	336	10	2	8	22	8	NA	NA	386
236	100	2	3	326	4	1	10	21	8	NA	NA	370
260	100	1	1	504	15	2	6	16	10	NA	NA	553
260	100	1	2	494	8	1	4	19	9	NA	NA	535
260	100	1	3	540	8	2	10	19	6	NA	NA	585
332	1	100	1	190	6	1	4	13	14	NA	NA	228
332	1	100	2	203	6	2	5	14	11	NA	NA	241
332	1	100	3	144	6	4	4	15	13	NA	NA	186
356	1	100	1	97	5	1	2	5	10	NA	NA	120
356	1	100	2	128	2	0	5	13	9	NA	NA	157
356	1	100	3	113	5	2	1	7	6	NA	NA	134
380	1	10	1	845	28	3	20	21	8	NA	NA	925
380	1	10	2	874	28	6	14	28	7	NA	NA	957
380	1	10	3	913	31	6	14	11	9	NA	NA	984
