t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	2536	3	0	1	2	2	0	2
0	100	300	2	2435	6	1	0	1	0	0	1
0	100	300	3	2309	5	0	0	1	0	0	2
24	100	300	1	2547	6	0	1	0	1	0	0
24	100	300	2	2630	4	0	0	0	0	0	0
24	100	300	3	2561	3	1	1	1	0	0	0
48	100	300	1	2444	1	0	0	1	1	1	0
48	100	300	2	2516	2	3	0	0	0	0	0
48	100	300	3	2670	5	1	1	1	0	0	0
72	100	300	1	2533	6	1	0	1	0	0	0
72	100	300	2	2608	1	0	0	0	1	0	0
72	100	300	3	2752	3	0	0	3	1	0	0
120	100	300	1	2611	5	2	0	2	2	0	0
120	100	300	2	2552	4	0	0	0	2	0	1
120	100	300	3	2376	5	0	1	0	1	0	0
144	100	300	1	2597	5	0	1	0	1	0	0
144	100	300	2	2569	4	1	0	1	1	0	0
144	100	300	3	2585	2	1	0	2	0	0	1
168	100	300	1	1919	4	1	0	1	1	0	0
168	100	300	2	2095	5	3	1	0	0	0	0
168	100	300	3	2036	7	1	1	1	2	0	0
192	100	300	1	1606	2	4	0	1	2	3	0
192	100	300	2	1701	3	5	2	2	2	0	1
192	100	300	3	1602	6	3	1	2	2	1	2
215	100	100	1	1365	8	5	4	1	1	7	0
215	100	100	2	1346	15	8	4	0	0	3	3
215	100	100	3	1337	11	12	5	3	4	3	1
240	100	100	1	78	4	0	0	1	0	0	0
240	100	100	2	79	2	1	1	0	1	2	0
240	100	100	3	77	1	3	0	1	0	1	0
264	100	10	1	100	8	1	0	1	1	0	0
264	100	10	2	105	6	4	3	0	0	0	1
264	100	10	3	120	6	3	2	1	0	1	3
290	100	1	1	124	27	1	0	1	0	0	0
290	100	1	2	120	22	1	2	0	0	0	0
290	100	1	3	157	18	2	0	0	0	1	0
