exprt	Pb0	R0.5.0	R0.25.0	R2.0	Pb.max	R0.5.max	t.max
YPS128.121205	0.00345383375546856	0.000463714351959192	0.000695571527938787	0	0.428571428571429	1.00000000000001	119
YPS128.lohcls.013106	0.00175404404599494	0.00078231957754743	0.000195579894386857	0	0.155601659751037	0.0753012048192769	290
YPS163.030906	0.00295285612463089	0.000512137662603708	0.000102427532520742	0.000102427532520742	0.186234817813765	0.0399999999999998	146
M28.022006	0.00257289879931389	0.00100574712643678	0.00014367816091954	0.00014367816091954	0.0218579234972678	0.0114285714285714	164
M13.lohcls.013106	0.00191597098672506	0.000137381508448963	0.000137381508448963	0	0.140756302521008	0.0116959064327485	290
M32.022006	0.0121841155234657	0.00231267345050879	0.000231267345050879	0.000693802035152639	0.0236712818222421	0.00750117205813408	356
M14.lohcls.013106	0.00854244527495996	0.00135795763172189	0.00135795763172189	0	0.175675675675676	0	192
101S.030906	0.00286726260752235	0.000169635284139101	0.000339270568278202	0	0.0117647058823529	0.0281124497991967	146
M1-2.030906	0.00180416598327046	0.000164609053497942	0.00065843621399177	0.000164609053497942	0.0312382386149792	0.0044158972300281	218
M8.030906	0.00577796120511762	0.000208768267223382	0.000626304801670146	0.000835073068893528	0.185265438786566	0.0602409638554217	245
M34.100506	0.00886834873844617	0.00178026449643947	0.00139877924720244	0.000762970498474058	0.0633693972179289	0.0203539823008849	191
M5.032906	0.00163296068333124	0.000126023944549464	0.000504095778197858	0.000126023944549464	0.223781998348473	0.0553064275037371	243
