101S	BY4743	M1-2	M13	M14	M2-8	M32	M34	M5	M8	rad52DD	SGU57	YPS128	YPS163
4.39821253432751	15.0689397508392	6.53130131368625	7.6902484099369	3.23356886711082	3.19728992337556	8.79997436896777	4.711936	6.30892090563504	5.05910938976326	3.290158	3.6366681572143	6.88567411017577	5.68160014740738
4.70508960262987	NA	7.17089794536463	9.59091206413375	4.03035597285349	5.19382109508838	8.26035312375861	3.152253	5.92303418013372	11.0444991870693	2.946154	NA	5	5
5.04922681514222	NA	5.83430637603969	8.26555455020707	5.29498270333695	5.10850615598212	7.58296438222938	6.6	6.00841234997851	5.7282474010923	2.37356	NA	6.74477705451474	4.33473431188034
NA	NA	NA	NA	NA	4.2896920761128	NA	3.1531313628233	NA	NA	1.96175	NA	2.9768056294967	NA
NA	NA	NA	NA	NA	NA	NA	7.4	NA	NA	NA	NA	NA	NA
