t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	1	430	83	8	9					3
0	100	100	2	435	101	10	7					4					1
47.7	100	10	1	2951	615	12	4					
71	50	20	1	2176	510	2	2					
96	50	20	1	1945	520	4	3					
125	50	20	1	2104	498	4						1
169.5	100	10	1	585	86							
215.25	100	4	1	801	265	7	4					
215.25	100	4	2	758	218	6	0					
215.25	100	4	3	642	239	2	14					
265	100	6	1	223	79	0	4					
265	100	6	2	275	98	6	9					
288.25	100	4	1	150	40	3	3					1
288.25	100	4	1	145	36	1	4					0
339	100	1	1	678	268	7	8					1
339	100	1	1	685	208	13	5					
432	50	2	1	415	92	7	6					
432	50	2	2	403	102	7	7					
432	50	2	3	366	90	4	0					
