expt	Tc	wc	Tmmax	Tg	wg	Tbmax	Td	wd	Tdmax	b.min	b.max	b0	half.0.raw
101S.030906.tab	5.04922681514222	17.3399977373677	5.95	4.98427572336968	36.5688360763063	5	5.125	10	5.78738034956273	0.0588235294117647	0.00186828584773470	0.00286726260752235	0.000168662506324844
BY4743.032906.tab	15.0689397508392	2.34252193391492	17.1	13.5828958264739	3.91596709470106	12	13.125	10	20.0121640244205	0.0403286034353996	0.00469128329297821	0.00580028217588964	0.00109735068192507
M1-2.030906.txt	5.83430637603969	19.1792961503486	6.8	6.08333333333333	10	5.95	6.08333333333333	10	6.41247948605765	0.0314650934119961	0.00143563566757059	0.00180475799835931	0
M13.lohcls.013106.tab	8.26555455020707	16.3565557313233	9.75	9.97379493239212	48.4665372953454	10	8.95833333333333	20	10.8691235154974	0.140756302521008	0.00104616189355303	0.00191597098672506	0.000136855070480361
M14.lohcls.013106.tab	5.29498270333695	23.0958578541039	6.05	6.5	10	6.5	6	10	5.91904194533791	0.222222222222222	0.00451085424302227	0.00854244527495996	0.00133475707421249
M28.022006.txt	4.2896920761128	8.46747168685595	5.45	4.91666666666667	20	4.9	4.91666666666667	20	5.9804871633067	0.0218579234972678	0.00254366627098525	0.00257289879931389	0.00100057175528874
M32.022006.txt	7.58296438222938	10.6209824227750	9.4	7.83333333333333	10	7.7	7.83333333333333	10	9.8984994877567	0.0284810126582279	0.00988060930424043	0.0121841155234657	0.00225631768953069
M34.041806.tab	6.6098437726024	15.9702996715027	7.85	8.13005829660318	26.8613918721106	8.25	8.11182462730263	12.2639121014698	9.98872830289673	0.354241877256318	0.0070568700705687	0.0070568700705687	0.00186799501867995
M34.100506.37C.tab	3.1531313628233	4.8398236408459	4.15	4.21473762148563	9.78400802782634	4.15	4	10	7.661248189307	0.0633693972179289	0.00722059439095856	0.00886834873844617	0.00174868848363727
M5.032906.tab	6.00841234997851	24.8861188182758	6.85	8.68012452667224	7.45794908665062	8.85	6.9509583978459	3.5587398096915	12.0755704135390	0.356487549148100	0.00163296068333124	0.00163296068333124	0.000125612360256249
M8.030906.txt	5.7282474010923	16.6440634854562	6.75	7.31197478731631	18.5460725036965	7.35	6.08333333333333	10	9.7391687966172	0.185265438786566	0.00412774277645014	0.00577915376676987	0
sgu57.022006.txt	3.6366681572143	7.43640687066019	4.65	6.83272846360856	1.02859198043214	0.15	NA	NA	4.0565968315622	0.371794871794872	0.0575539568345324	0.0575539568345324	0.0359712230215827
YPS128.013106.tab	6.74477705451474	6.57918083685196	8.75	8.72771712758984	12.9628322252558	8.7	7	10	11.1492405401692	0.155601659751037	0.00175404404599493	0.00175404404599493	0.000779575131553303
YPS128.121205.37C.tab	2.97680562949670	21.0812492948438	3.45	4.29673740610008	10	4.6	3.5313580140208	10.8619063057556	6.35609838939771	0.428571428571429	0.00205151584226123	0.00345383375546857	0.000460511167395809
YPS163.030906.txt	4.33473431188034	8.10012625719278	5.5	5.21932773634967	22.0619025029480	5.25	5.125	10	7.01453149405253	0.186234817813765	0.00295285612463089	0.00295285612463089	0.000509113124936361
