strain	Tc	wc	Tmmax	Tg	wg	Tbmax	Td	wd	Tdmax	b.min	b.max	b0	half.0.raw
050706.rad52D.1.tab	2.3906228145135	2.54861940684637	2.85	3.08574932874401	12	3.15	NA	NA	NA	0.353741496598639	0.131401349741961	0.136559655007187	0.00766650694777192
050706.rad52D.2.tab	1.98012864585797	2.02474860539026	2	3.08318920287525	17	3.1	NA	NA	NA	0.216796875	0.0932666060054595	0.0932666060054595	0.00773430391264786
