t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	1	618	89	5	10					
0	100	100	2	584	95	3	6					
0	100	100	3	561	101	8	7					1
15.5	100	50	1	1099	180	7	7			1		2
15.5	100	50	2	1058	151	8	8					3
38.2	100	50	1	837	205	16	7					
86	100	50	1	255	88	2	6					
86	100	10	1	912	442	8	9					4
110.67	100	20	1	374	208	5	1					1
161.5	50	10	1	687	269	6						
185.5	50	5	1	1218	551	1	6					1
210	50	5	1	839	358	3	3					0
262	50	2	1	1435	563	5	2					0
336	50	1	1	2063	766	13	2					2
354.5	50	1	1	2144	619	24	5					6
