t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	3215	13	2	1	0	0	0	0
0	100	300	2	3323	4	1	0	0	0	1	1
0	100	300	3	3244	12	2	0	2	0	0	0
24	100	300	1	3096	90	8	6	2	0	5	0
24	100	300	2	3040	107	10	5	4	0	4	0
24	100	300	3	3117	92	9	10	2	0	5	0
50	100	300	1	3070	116	6	6	1	1	2	0
50	100	300	2	3105	98	10	7	3	0	2	0
50	100	300	3	2996	106	7	5	2	1	5	0
98	100	300	1	1863	90	36	15	8	0	9	0
98	100	300	2	1768	90	38	7	4	0	8	0
98	100	300	3	1994	66	43	14	5	0	9	0
123	100	100	1	1850	167	54	24	8	2	16	0
123	100	100	2	1849	186	51	18	8	3	13	0
123	100	100	3	1815	166	57	22	8	2	18	0
146	100	100	1	316	88	11	3	0	1	5	0
146	100	100	2	313	73	10	7	2	1	7	0
146	100	100	3	307	69	10	8	0	0	4	0
172	100	100	1	97	20	1	1	0	0	1	0
172	100	100	2	83	21	3	3	2	0	1	0
172	100	100	3	92	23	5	1	0	1	3	0
194	100	20	1	306	73	9	2	0	0	3	1
194	100	20	2	316	76	7	1	1	0	1	0
194	100	20	3	338	78	6	4	2	0	4	0
218	10	50	1	1032	164	27	8	1	1	19	0
218	10	50	2	989	188	23	11	5	4	17	0
218	10	50	3	1104	208	19	14	4	0	14	0
245	100	5	1	955	56	5	6	1	0	6	0
245	100	5	2	930	56	12	3	0	0	4	0
245	100	5	3	913	66	8	0	2	0	6	0
