t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	2512	5	1	0	1	1	0	1
0	100	300	2	2674	3	0	1	1	0	1	3
0	100	300	3	2746	5	0	3	3	0	0	0
24	100	300	1	2681	4	1	3	2	0	1	1
24	100	300	2	2792	4	3	1	1	0	0	0
24	100	300	3	2710	14	0	0	0	0	0	0
48	100	300	1	2641	7	1	1	1	0	0	0
48	100	300	2	2624	4	0	1	1	0	0	0
48	100	300	3	2676	8	2	0	1	1	0	0
100	100	300	1	2837	9	0	2	0	1	0	0
100	100	300	2	2712	6	1	3	0	1	0	2
100	100	300	3	3049	4	1	1	0	0	0	1
123	100	300	1	2697	7	3	1	3	2	0	0
123	100	300	2	2536	3	5	1	2	2	0	1
123	100	300	3	2428	7	3	2	0	0	0	0
145	100	300	1	1142	2	14	8	3	0	4	1
145	100	300	2	1214	7	13	5	1	0	4	1
145	100	300	3	1281	5	10	2	2	1	2	0
218	10	5	1	345	75	11	8	2	0	11	1
218	10	5	2	360	109	14	7	2	0	13	2
218	10	5	3	364	90	4	8	3	2	10	1
243	10	5	1	275	98	11	2	2	0	6	0
243	10	5	2	293	90	14	6	3	2	7	0
243	10	5	3	279	83	12	10	6	1	9	2
