t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	79320000	130000	10000	40000	50000	10000	10000	40000	79610000
24	81830000	220000	40000	40000	30000	0	10000	10000	82180000
48	79410000	190000	30000	20000	30000	10000	0	0	79690000
100	85980000	190000	20000	60000	0	20000	0	30000	86300000
123	76610000	170000	110000	40000	50000	40000	0	10000	77030000
145	36370000	140000	370000	150000	60000	10000	1e+05	20000	37220000
218	17816.6666666667	4566.66666666667	483.333333333333	383.333333333333	116.666666666667	33.3333333333333	566.666666666667	66.6666666666667	24033.3333333333
243	14116.6666666667	4516.66666666667	616.666666666667	300	183.333333333333	50	366.666666666667	33.3333333333333	20183.3333333333
