t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	58910000	170000	10000	20000	1e+05	20000	0	60000	59290000
24	64050000	170000	10000	40000	130000	60000	10000	70000	64540000
50	63840000	120000	70000	10000	60000	30000	10000	90000	64230000
98	56010000	180000	70000	10000	40000	0	30000	20000	56360000
123	25503333.3333333	143333.333333333	323333.333333333	113333.333333333	63333.3333333333	20000	50000	10000	26226666.6666667
146	773333.333333333	10000	23333.3333333333	13333.3333333333	3333.33333333333	10000	13333.3333333333	3333.33333333333	850000
194	61833.3333333333	500	533.333333333333	66.6666666666667	166.666666666667	66.6666666666667	33.3333333333333	0	63200
218	122900	600	750	433.333333333333	333.333333333333	116.666666666667	150	0	125283.333333333
