t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	47570000	280000	10000	30000	220000	2e+05	40000	110000	48460000
24	50020000	340000	40000	40000	190000	260000	10000	140000	51040000
50	48820000	220000	90000	20000	270000	210000	20000	160000	49810000
98	45100000	190000	80000	30000	210000	280000	30000	110000	46030000
123	40860000	290000	2e+05	40000	180000	110000	80000	140000	41900000
146	12483333.3333333	126666.666666667	286666.666666667	116666.666666667	66666.6666666667	36666.6666666667	50000	46666.6666666667	13213333.3333333
218	12350	2366.66666666667	600	233.333333333333	66.6666666666667	66.6666666666667	366.666666666667	50	16100
245	4603.33333333333	1140	233.333333333333	53.3333333333333	33.3333333333333	10	73.3333333333333	6.66666666666667	6153.33333333333
