t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	119373333.333333	210000	93333.3333333333	23333.3333333333	23333.3333333333	0	0	0	119723333.333333
24	104603333.333333	2030000	793333.333333333	186666.666666667	46666.6666666667	23333.3333333333	396666.666666667	70000	108150000
48	106680000	886666.666666667	583333.333333333	256666.666666667	46666.6666666667	46666.6666666667	186666.666666667	23333.3333333333	108710000
72	110600000	630000	956666.666666667	233333.333333333	140000	23333.3333333333	303333.333333333	0	112886666.666667
120	99760000	310000	980000	320000	60000	0	290000	0	101720000
144	80140000	620000	1880000	540000	110000	0	360000	10000	83660000
168	48500000	730000	1160000	360000	1e+05	80000	530000	20000	51480000
192	31500000	730000	940000	350000	120000	20000	490000	0	34150000
215	12626666.6666667	686666.666666667	473333.333333333	166666.666666667	1e+05	20000	126666.666666667	0	14200000
240	4188333.33333333	263333.333333333	183333.333333333	111666.666666667	46666.6666666667	18333.3333333333	116666.666666667	13333.3333333333	4941666.66666667
264	431666.666666667	45666.6666666667	26000	19000	9000	4000	26000	2666.66666666667	564000
290	1015000	250000	83333.3333333333	80000	28333.3333333333	15000	126666.666666667	8333.33333333333	1606666.66666667
