t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	60700000	110000	10000	40000	50000	30000	10000	20000	60970000
24	64820000	110000	0	60000	1e+05	110000	10000	70000	65280000
50	67695000	120000	15000	15000	60000	75000	15000	60000	68055000
98	62320000	90000	30000	20000	70000	70000	20000	70000	62690000
123	55370000	150000	80000	80000	140000	160000	50000	80000	56110000
146	18276666.6666667	266666.666666667	183333.333333333	150000	56666.6666666667	33333.3333333333	36666.6666666667	0	19003333.3333333
172	490000	6666.66666666667	3333.33333333333	3333.33333333333	0	3333.33333333333	3333.33333333333	0	510000
218	41816.6666666667	1383.33333333333	183.333333333333	266.666666666667	133.333333333333	150	166.666666666667	183.333333333333	44283.3333333333
