t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	2512	5	1	0	1	1	0	1
0	100	300	2	2674	3	0	1	1	0	1	3
0	100	300	3	2746	5	0	3	3	0	0	0
24	100	300	1	2681	4	1	3	2	0	1	1
24	100	300	2	2792	4	3	1	1	0	0	0
24	100	300	3	2710	14	0	0	0	0	0	0
48	100	300	1	2641	7	1	1	1	0	0	0
48	100	300	2	2624	4	0	1	1	0	0	0
48	100	300	3	2676	8	2	0	1	1	0	0
100	100	300	1	2837	9	0	2	0	1	0	0
100	100	300	2	2712	6	1	3	0	1	0	2
100	100	300	3	3049	4	1	1	0	0	0	1
123	100	300	1	2697	7	3	1	3	2	0	0
123	100	300	2	2536	3	5	1	2	2	0	1
123	100	300	3	2428	7	3	2	0	0	0	0
145	100	300	1	1142	2	14	8	3	0	4	1
145	100	300	2	1214	7	13	5	1	0	4	1
145	100	300	3	1281	5	10	2	2	1	2	0
169	100	100	1	16	2	1	1	0	0	0	0
169	100	100	2	15	1	1	0	0	0	0	0
169	100	100	3	13	0	1	0	0	0	1	0
218	10	5	1	345	75	11	8	2	0	11	1
218	10	5	2	360	109	14	7	2	0	13	2
218	10	5	3	364	90	4	8	3	2	10	1
243	10	5	1	275	98	11	2	2	0	6	0
243	10	5	2	293	90	14	6	3	2	7	0
243	10	5	3	279	83	12	10	6	1	9	2
270	10	1	1								
270	10	1	2	1138	400	40	48	16	6	40	0
270	10	1	3	1153	353	36	36	21	5	32	0
292	10	5	1	172	69	11	6	5	4	4	0
292	10	5	2	189	86	8	5	5	2	9	0
292	10	5	3	224	85	4	5	2	6	5	0
315	10	5	1	172	87	2	5	6	0	9	0
315	10	5	2	190	76	6	7	4	1	11	0
315	10	5	3	179	82	4	6	0	1	6	0
337	10	5	1	153	85	4	1	4	1	9	0
337	10	5	2	141	100	3	3	3	2	3	0
337	10	5	3	137	87	9	3	4	5	6	0
362	10	5	1	172	73	5	2	3	1	5	0
362	10	5	2	203	93	6	1	3	2	8	0
362	10	5	3	170	86	4	2	2	2	6	0
