t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	300	1	1533	10	6	0	4	2	2	5	0
0	100	300	2	1601	12	1	3	4	2	0	3	0
0	100	300	3	1606	12	2	2	2	3	0	3	0
24	100	300	1	1664	15	1	3	3	2	1	3	0
24	100	300	2	1658	21	3	2	4	6	3	5	0
24	100	300	3	1733	21	3	1	4	2	0	4	0
50	100	300	1	1762	17	2	2	3	3	0	5	1
50	100	300	2	1779	23	4	3	7	3	2	3	0
50	100	300	3	1801	13	0	2	2	6	3	4	1
74	100	300	1	1582	18	3	1	4	0	0	4	1
74	100	300	2	1450	14	2	1	5	1	0	1	0
74	100	300	3	1601	21	3	2	0	2	0	4	1
98	100	300	1	1591	19	2	1	6	8	3	7	2
98	100	300	2	1732	29	3	0	3	9	5	7	1
98	100	300	3	1614	13	1	2	11	8	1	9	0
120	100	300	1	1622	22	4	6	3	5	3	4	1
120	100	300	2	1684	39	2	4	6	5	0	5	1
120	100	300	3	1587	14	2	2	4	7	0	6	1
144	100	300	1	1260	17	4	4	5	6	2	6	2
144	100	300	2	1275	20	5	2	5	6	2	7	3
144	100	300	3	1265	18	5	4	7	5	2	2	0
172	100	100	1	946	48	20	4	6	7	8	9	4
172	100	100	2	915	41	14	5	5	9	4	10	4
172	100	100	3	971	50	19	7	8	4	3	5	6
194	100	100	1	175	30	3	1	0	1	5	0	2
194	100	100	2	177	29	3	2	1	1	1	2	2
194	100	100	3	177	36	2	1	0	2	5	1	1
218	100	10	1	501	252	20	10	11	8	30	5	29
218	100	10	2	467	255	18	12	9	3	30	5	20
218	100	10	3	518	305	28	10	10	3	12	5	16
240	100	10	1	439	261	20	10	2	0	10	2	12
240	100	10	2	431	282	21	14	5	2	18	5	11
240	100	10	3	391	242	14	17	8	2	16	4	15
264	100	10	1	584	272	23	23	6	3	16	5	19
264	100	10	2	617	264	21	16	8	4	15	3	18
264	100	10	3	621	242	16	18	14	6	21	0	14
312	100	10	1									
312	100	10	2									
312	100	10	3	1264	290	16	17	10	7	24	4	16
360			1									
360			2									
360	100	10	3	477	248	12	19	12	4	24	6	17
