t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	1905	5	0	0	5	1	0	3
0	100	300	2	1975	4	1	1	3	1	0	1
0	100	300	3	2011	8	0	1	2	0	0	2
24	100	300	1	2076	6	1	2	7	4	0	3
24	100	300	2	2166	5	0	1	2	1	1	2
24	100	300	3	2163	6	0	1	4	1	0	2
50	100	300	1	2074	1	3	1	2	0	0	3
50	100	300	2	2118	7	1	0	1	0	0	3
50	100	300	3	2192	4	3	0	3	3	1	3
98	100	300	1	1862	4	1	0	0	0	2	1
98	100	300	2	1894	7	4	1	4	0	0	0
98	100	300	3	1845	7	2	0	0	0	1	1
123	100	100	1	2525	15	31	8	4	2	9	1
123	100	100	2	2615	13	30	15	7	3	2	1
123	100	100	3	2511	15	36	11	8	1	4	1
146	100	100	1	83	2	1	2	0	0	0	0
146	100	100	2	65	1	6	0	0	2	2	0
146	100	100	3	84	0	0	2	1	1	2	1
172	100	100	1	4							
172	100	100	2	6							
172	100	100	3	6	1						
194	100	1	1	579	5	7	1	3	0	1	0
194	100	1	2	644	4	7	1	0	1	0	0
194	100	1	3	632	6	2	0	2	1	0	0
218	10	5	1	2457	13	14	3	5	3	2	0
218	10	5	2	2488	13	12	10	6	0	3	0
218	10	5	3	2429	10	19	13	9	4	4	0
288	50	4	1	849	4	20	8	5	3	5	3
288	50	4	2	834	2	14	5	8	1	5	2
288	50	4	3	914	4	6	5	0	3	3	0
336	50	10	1	538	5	7	2	1	1	2	0
336	50	10	2	565	4	1	1	4	0	0	0
336	50	10	3	599	3	5	3	6	2	1	0
