t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	1595	11	0	0	5	5	0	5
0	100	300	2	1589	9	0	2	7	8	3	3
0	100	300	3	1573	8	0	1	10	7	1	3
24	100	300	1	1608	11	2	2	8	7	1	3
24	100	300	2	1675	12	1	1	6	10	0	6
24	100	300	3	1719	11	1	1	5	9	0	5
50	100	300	1	1642	6	6	0	9	6	0	3
50	100	300	2	1601	10	1	1	8	7	1	5
50	100	300	3	1639	6	2	1	10	8	1	8
98	100	300	1	1469	6	2	1	7	13	0	5
98	100	300	2	1496	10	2	0	5	7	0	3
98	100	300	3	1545	3	4	2	9	8	3	3
123	100	300	1	1362	6	6	0	8	4	5	7
123	100	300	2	1348	13	6	3	5	6	1	4
123	100	300	3	1376	10	8	1	5	1	2	3
146	100	100	1	1300	15	35	10	5	5	6	5
146	100	100	2	1227	9	32	14	6	3	5	4
146	100	100	3	1218	14	19	11	9	3	4	5
172	100	100	1	8							
172	100	100	2	10							
172	100	100	3	10							
194	100	10	1	29	5	1	0	0	0	0	0
194	100	10	2	34	5	1	0	0	0	0	0
194	100	10	3	32	4	0	0	0	0	0	0
218	10	5	1	237	43	11	5	1	1	7	0
218	10	5	2	263	56	12	5	2	1	7	1
218	10	5	3	241	43	13	4	1	2	8	2
245	10	1	1	416	111	23	4	2	2	8	2
245	10	1	2	497	116	23	8	2	1	6	0
245	10	1	3	468	115	24	4	6	0	8	0
288	3	10	1	1068	32	4	4	2	2	1	0
288	3	10	2	1129	36	4	3	0	1	0	0
288	3	10	3	1153	32	2	1	4	1	2	1
