"strain"	"Tc"	"wc"	"Tmmax"	"Tg"	"wg"	"Tbmax"	"Td"	"wd"	"Tdmax"	"b.min"	"b.max"	"b0"	"half.0.raw"
"101S"	4.29120146145147	14.213845946579	5.15	6.72342533630665	27.9584690683424	6.7	4.34578531238599	12	5.78717264997655	0.105263157894737	0.0017636684303351	0.00312825860271116	0
"M1-2"	6.46449311051961	19.2826772022641	7.5	7.83333333333333	17	7.8	7.83333333333333	17	10.005098770981	0.080952380952381	0.00142551674982181	0.00154978690430066	0
"M13"	8.0656380360671	17	9.5	11.1805015887858	17	11.2	10.8958333333333	17	12.8020833333333	0.245772266065389	0.00213371266002845	0.00223214285714286	0
"M14"	3.36014133337646	5	4.45	7.49059060195966	8.78782190328167	7.4	7.59949621825169	8.82648689263356	10.6446890577435	0.147506925207756	0.00284900284900285	0.00721500721500722	0.000824572253143682
"M2-8-1"	4.74452235656287	10	5.9	4.6968938677494	15.6851657325141	4.7	7.64297865472523	101.911910686078	8.3816977831086	0.333333333333333	0.0029940119760479	0.00773480662983425	0
"M2-8-2"	4.26266256773228	15.8711171942549	5.05	4.48549025900603	10	4.5	7	"NA"	7.83333333333333	0.25	0.00488758553274682	0.00516528925619835	0.000516528925619835
"M32"	7.51457226533666	35.1264856560025	8.3	5.45494304519296	16.9000736958586	5.45	7.83333333333333	6	9.5586724842929	0.0831353919239905	0.0118273211117682	0.0142491779320424	0.00182681768359518
"M34"	8.2018641131267	11.3898495586149	10.05	9.95392953597724	12.4239408299254	10.1	7.73369791930807	5.3290669429631	9.63447806998572	0.287978863936592	0.00459242250287026	0.00459242250287026	0.000574052812858783
"M5"	5.43694937076739	7.84664939280812	6.95	6.0867835280235	6.65701804974557	5.9	5.8125	20	9.36203316212366	0.0901339829476248	0.00146198830409357	0.00227100681302044	0.00151400454201363
"M8"	9.57244780050403	12.6275147785404	11.65	11	10	11	10.8958333333333	10	10.9657697494213	0.0885714285714286	0.00358637178720861	0.00904522613065327	0.00033500837520938
"YPS128"	12.2930863434473	16.8972830567293	14.5	17.875	5	16.6	17.875	5	14.7476899717493	0.25	0.019755409219191	0.0226969292389853	0.00133511348464619
"YPS163"	5.73810690620447	5.51988220416245	7.55	9.29630823160648	9.09617817705909	9.2	10.8958333333333	5	10.8172518859343	0.124513618677043	0.0064065230052417	0.0064065230052417	0.00029120559114735
